,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9250943103206616,0.9517509924404961,0.96,0.5819634918719512,13137.093944937593,-0.5417182174920568
1,"('sipu', 'a2')",0.9337253051435004,0.961694780888309,0.9650980392156865,0.586623022429654,17435.40022044909,-0.5356337263114868
2,"('sipu', 'a3')",0.9435266923673953,0.9689451881551384,0.9704761904761902,0.5911134890927584,23627.2491317071,-0.5287419495378425
3,"('sipu', 'aggregation')",1.0,1.0,1.0,0.49253480307668474,1200.1714232965353,-0.5036084473934049
4,"('sipu', 'compound')",0.803025623308763,0.8352760508380038,0.642222222222222,0.4607742581310151,613.737297191205,-0.6684497978391474
5,"('sipu', 'd31')",0.9068918288461281,0.951708863328514,0.9353333333333331,0.5622699485723173,7960.544605117174,-0.5678831070207443
6,"('sipu', 'flame')",0.4421506504554051,0.4830551654982509,0.738562091503268,0.37232215681131176,151.6403283545794,-1.1325031074665362
7,"('sipu', 'jain')",0.7791940209231208,0.6964075552850177,0.7938144329896906,0.43257210370490967,294.0073403120221,-0.777986828867016
8,"('sipu', 'pathbased')",0.4436423035287233,0.5207604650881417,0.6312089971883785,0.5385961282904779,353.9569597834627,-0.6308820299619287
9,"('sipu', 'r15')",0.9892599952466714,0.9921961726294833,0.9946428571428572,0.7521917517947685,4860.668220878142,-0.31493554779481414
10,"('sipu', 's1')",0.9815990475472909,0.9835002492832072,0.9909228160950434,0.7083631627809659,22293.324347609076,-0.36899570813067634
11,"('sipu', 's2')",0.9126020745509621,0.9307545175412676,0.9545773015430232,0.6091772920709072,12485.470809859617,-0.48331803834220205
12,"('sipu', 's3')",0.5985239586366824,0.7520303064189533,0.6633777462829805,0.4056711448248677,4795.279644298512,-0.7125573330375944
13,"('sipu', 's4')",0.4925658173885549,0.6673593362136331,0.5887826482471793,0.37894939057093585,3209.461372546375,-inf
14,"('sipu', 'spiral')",-0.004374411101912078,0.0020438047793557785,0.026096625835090204,0.33774453584729774,194.82676807075762,-0.9212528909278728
15,"('sipu', 'unbalance')",1.0,1.0,1.0,0.8577568698722174,221461.06842793562,-0.29015288799221434
16,"('uci', 'ecoli')",0.7448672490337442,0.7193088191325674,0.4992507492507493,0.39616461755230453,103.7859585337659,-inf
17,"('uci', 'glass')",0.019783168150707933,0.11445030908098336,0.08257403012393941,0.44302533594235327,22.486383107321565,-inf
18,"('uci', 'ionosphere')",0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.40540390405227217,3.9647595149089145,-inf
19,"('uci', 'sonar')",0.006599156023768518,0.008105186396250946,0.05033899879260706,0.2504645073022613,28.34158348928394,-1.4377458700054102
20,"('uci', 'statlog')",0.0001317530426524568,0.01530100029741963,0.0035353535353535395,0.51154668462495,111.32907618454563,-inf
21,"('uci', 'wdbc')",0.05230450912720369,0.08809665670006503,0.09433962264150941,0.6909351496010313,334.3356566727959,-0.42900107431046264
22,"('uci', 'wine')",0.292626917173625,0.40493730457422955,0.3389830508474576,0.6100753299636016,306.9714126770452,-0.4282514905403378
23,"('uci', 'yeast')",0.011047493332027317,0.07280144983036377,0.18367776642708844,0.28146781839182283,34.302651006151066,-0.7238247233045492
24,"('fcps', 'atom')",0.09862621818643041,0.2196955061119616,0.31499999999999995,0.410737117015655,242.85808407660056,-1.143757464647151
25,"('fcps', 'chainlink')",0.27192171366650764,0.359852137112415,0.522,0.3233434313192273,493.06034733041867,-1.1599318530005118
26,"('fcps', 'engytime')",0.051013826342743006,0.14874541264180086,0.22607421875,0.34084534846220627,1389.1166294948453,-0.8063018452376648
27,"('fcps', 'hepta')",1.0,0.9999999999999999,1.0,0.7019232643413871,519.9375177851588,-0.355038569756824
28,"('fcps', 'lsun')",0.36108853075196323,0.4987236132238375,0.6100000000000001,0.4603799278728984,394.0901533118464,-0.8129454439494284
29,"('fcps', 'target')",0.1455921882157087,0.33841084340613636,0.859504132231405,0.38190267096098474,84.98299691164699,-0.49332069609742774
30,"('fcps', 'tetra')",0.9933165272203728,0.9898917498726852,0.9966666666666667,0.5046643718844809,416.8472960624779,-0.6662109175731855
31,"('fcps', 'twodiamonds')",0.9949999922070802,0.9873917844185746,0.9975,0.6303858818473113,2384.4619615765278,-0.5419759467536187
32,"('fcps', 'wingnut')",1.0,1.0,1.0,0.4482302358265913,1061.0164444544548,-0.8890184139267906
33,"('graves', 'dense')",0.9212046771339222,0.8782063702756282,0.96,0.6766637700970716,486.9399140639118,-0.4580003974849464
34,"('graves', 'fuzzyx')",0.7426002274320629,0.801842864654725,0.8603747862504709,0.5201701419039181,1534.9531166462652,-0.5827934294367332
35,"('graves', 'line')",-0.06610879945280197,0.14491699333575667,0.3700000000000001,0.5534580854817209,422.6376968947468,-0.5584937530481947
36,"('graves', 'parabolic')",0.5986750085638649,0.4920326699169257,0.773462006273606,0.5291271655426967,1594.4035921443108,-0.7290565588066025
37,"('graves', 'ring')",0.11374564294033593,0.23434176665182269,0.3380000000000001,0.3955438737367573,360.70379592048795,-1.0404844841338523
38,"('graves', 'ring_noisy')",0.11960533673611029,0.2406447737946014,0.3485148514851484,0.39631372792502423,365.51809057719294,-1.0737388865732438
39,"('graves', 'ring_outliers')",0.6291176964670051,0.6571140652806295,0.5840000000000001,0.5530556458899076,823.7167393903325,-0.7292012394832195
40,"('graves', 'zigzag')",0.12919335235180393,0.34121362618172457,0.56,0.4999655110165816,363.37605507796286,-0.6164561991545899
41,"('graves', 'zigzag_noisy')",0.12480908527915027,0.3509980802670467,0.5943396226415094,0.5049927704038423,416.9568422762995,-0.666021953674258
42,"('graves', 'zigzag_outliers')",0.12919335235180393,0.34121362618172457,0.56,0.49996565249311814,363.37587922161686,-0.6164562094160977
