,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.44357102283866345,0.7872199393365449,0.3712280701754387,0.0135087269257456,1570.1789241686956,-inf
1,"('sipu', 'a2')",0.34775657782159847,0.767597078589636,0.2968627450980391,-0.21604350674821482,1238.7570108336072,-inf
2,"('sipu', 'a3')",0.31538907963814694,0.7612710627410877,0.24843537414965963,-0.2962187358590178,1453.6871533209055,-inf
3,"('sipu', 'aggregation')",0.8042069683967059,0.8831647238945138,0.6637254901960784,0.2824978043908527,506.3067638322623,-inf
4,"('sipu', 'compound')",0.7424809448687679,0.7985523579641,0.404,0.35944192897066873,407.5295133383616,-inf
5,"('sipu', 'd31')",0.1739021944675327,0.6375800814102802,0.2379999999999999,-0.38964418409107743,218.63075516620165,-inf
6,"('sipu', 'flame')",0.012750430131139363,0.024231427069919723,0.02298850574712641,0.2951614093008735,6.8943871904232115,-0.5798152005184591
7,"('sipu', 'jain')",0.256288512074381,0.24626507875961107,0.268041237113402,0.37823234561357494,109.53733636594131,-0.6018754345988606
8,"('sipu', 'pathbased')",0.000519521798686093,0.01327993100772853,0.005154639175257714,-0.04706357932893814,1.146217387426609,-inf
9,"('sipu', 'r15')",0.5424573784026467,0.877814355542176,0.7035714285714285,0.39703828085468734,611.5451965327297,-inf
10,"('sipu', 's1')",0.463522341495289,0.7922092815367335,0.4283736920790746,-0.04928434203486548,1146.7490090103192,-inf
11,"('sipu', 's2')",-2.0451192246365106e-05,0.007642137091566014,0.002967723125042724,-0.597610907484831,2.720515917346805,-inf
12,"('sipu', 's3')",-1.3405361685169403e-05,0.009401410127505856,0.0029646624478924443,-0.41913375764763316,4.733803486115175,-inf
13,"('sipu', 's4')",4.648363862490203e-05,0.008791551790729917,0.001991341362930031,-0.1366274718618555,5.465422518683614,-inf
14,"('sipu', 'spiral')",1.0,1.0,1.0,0.0013443036684934106,5.797845205564439,-5.8820264163333364
15,"('sipu', 'unbalance')",0.9988276318631844,0.9920688555948561,0.8557142857142858,0.8383146453453472,100628.87089442884,-inf
16,"('uci', 'ecoli')",0.039863217349138606,0.1523627337326577,0.19879406307977732,0.144558347429779,4.567982575013785,-inf
17,"('uci', 'glass')",0.014862766191148869,0.07241383329637892,0.06251958366295937,0.45019027550804436,10.96578005674854,-inf
18,"('uci', 'ionosphere')",0.0044727568446733534,0.008703830261403558,0.007936507936507908,0.40540390405227217,3.9647595149089145,-inf
19,"('uci', 'sonar')",0.0013877949064176138,0.010205289934459304,0.010309278350515427,0.11707158651066975,1.4807882625667408,-inf
20,"('uci', 'statlog')",2.2628552644717634e-05,0.006861201201614071,0.0010101010101010166,0.7368980631702114,84.80028428071002,-inf
21,"('uci', 'wdbc')",0.0024029438603797937,0.005162477750374118,0.004716981132075526,0.7989868777337606,35.43360202623333,-inf
22,"('uci', 'wine')",0.005443835443708646,0.06154328206557935,0.0423728813559322,0.48798200365487593,24.420359949982796,-inf
23,"('uci', 'yeast')",0.010466736644632721,0.06570940512565106,0.1425018541961626,0.36273160121843695,24.188868557895443,-inf
24,"('fcps', 'atom')",1.0,1.0,1.0,0.31149300255148044,1.1598336099301678,-20.197949822213985
25,"('fcps', 'chainlink')",1.0,1.0,1.0,0.1666516457318623,250.86493232954078,-1.9903185594461685
26,"('fcps', 'engytime')",4.769538293273723e-07,0.000971007411159229,0.0009765625,0.3721663645936728,8.04419129957236,-0.5500588002287021
27,"('fcps', 'hepta')",1.0,0.9999999999999999,1.0,0.7019232643413871,519.9375177851588,-0.355038569756824
28,"('fcps', 'lsun')",1.0,1.0,1.0,0.4774563781008524,384.43866488262984,-0.7089984793774091
29,"('fcps', 'target')",1.0,0.9999999999999999,1.0,0.29520825979082954,27.86874274283361,-11.22877477783851
30,"('fcps', 'tetra')",-2.5063284794105115e-05,0.014466702176500762,0.010000000000000009,-0.2349986257063869,1.5125971839698784,-inf
31,"('fcps', 'twodiamonds')",0.0,0.0024680570151263234,0.0024999999999999467,0.1527969365645138,2.907461694497013,-inf
32,"('fcps', 'wingnut')",1.0,1.0,1.0,0.4482302358265913,1061.0164444544548,-0.8890184139267906
33,"('graves', 'dense')",0.0006031942149653491,0.027265941786516902,0.030000000000000027,0.42950213262831105,15.626313875195658,-0.4600720359239263
34,"('graves', 'fuzzyx')",-0.00012603239355721,0.00768591826456265,0.00240207373271889,0.06688959223082247,3.5669477096067137,-inf
35,"('graves', 'line')",1.0,1.0,1.0,0.1731360872551737,28.051297593505005,-1.2310424091912135
36,"('graves', 'parabolic')",6.504084401762031e-05,0.002025300558042913,0.00203252032520318,0.07409348991209773,1.7240466998162751,-inf
37,"('graves', 'ring')",1.0,1.0,1.0,0.26779105253868213,0.0015831456571041202,-660.85574628779
38,"('graves', 'ring_noisy')",1.0,1.0,1.0,0.266222265155309,0.019332961126080246,-189.53876762764503
39,"('graves', 'ring_outliers')",1.0,1.0,1.0,0.23932536889851044,35.70310440256474,-264.72694999302263
40,"('graves', 'zigzag')",1.0,1.0,1.0,0.12409751714410708,30.652586627228136,-1.5733639036597682
41,"('graves', 'zigzag_noisy')",1.0,1.0,1.0,0.11147229935437344,30.858354705321815,-1.595795133520685
42,"('graves', 'zigzag_outliers')",1.0,1.0,1.0,0.1240976041274914,30.652559038117722,-1.573364435127542
