,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9162284295009431,0.9505520058547478,0.955438596491228,0.575687059721953,12809.885591662676,-0.5566349573759025
1,"('sipu', 'a2')",0.9084154805260766,0.95309584961472,0.9507843137254902,0.5678665531509209,16197.22074723877,-0.5527521018745803
2,"('sipu', 'a3')",0.9227816689333763,0.9621631797083667,0.9590476190476189,0.5786560007311008,22634.64998061572,-0.5442169007205213
3,"('sipu', 'aggregation')",0.7794704415197525,0.8710976201719012,0.9442612942612941,0.4773173401820235,1309.2854049706111,-0.7467270062438212
4,"('sipu', 'compound')",0.7928781404685332,0.8075750376144321,0.45999999999999996,0.45322257679011463,542.9686061522978,-0.7614102795544211
5,"('sipu', 'd31')",0.9237900239742176,0.9518648102402308,0.9606666666666666,0.5636665562569599,8763.755877190759,-0.5594932938664945
6,"('sipu', 'flame')",-0.042230155268608294,0.07471124688303453,0.17962587333784086,0.2524324480332217,58.674648457085766,-1.007498263654152
7,"('sipu', 'jain')",0.7791940209231208,0.6964075552850177,0.7938144329896906,0.43257210370490967,294.0073403120221,-0.777986828867016
8,"('sipu', 'pathbased')",0.3455207247421115,0.41294746660813253,0.5614807872539831,0.4968786045777829,301.4885441208515,-0.6363300990692171
9,"('sipu', 'r15')",0.9785242588988963,0.9843921168386807,0.9892857142857144,0.747201873135404,4683.4080346586925,-0.3259954689157082
10,"('sipu', 's1')",0.9710621671150479,0.9769880314489746,0.9847687609801117,0.7013720943080749,21326.849075414935,-0.3738619492277111
11,"('sipu', 's2')",0.7908725185518136,0.8784910334009509,0.8328187560554149,0.49895809917314454,8284.531504508066,-0.6493692948267769
12,"('sipu', 's3')",0.5092503854015455,0.7069098003205146,0.5692034921041652,0.3143119144477811,4519.092983261953,-0.9450383055694417
13,"('sipu', 's4')",0.4171187139155943,0.6195501731605024,0.4991043742610331,0.27152545898973846,3210.428483613188,-0.9768832990896891
14,"('sipu', 'spiral')",0.0215778695923089,0.03725578950845417,0.09898187932000746,0.32883082263634705,194.59629380141405,-0.9594708850045087
15,"('sipu', 'unbalance')",0.6124663429125057,0.817508276222885,0.8014285714285715,0.6428493011673471,22928.347377447262,-0.6372428474679197
16,"('uci', 'ecoli')",0.6661070660168048,0.691485970392474,0.49839446268017695,0.2813908383643622,108.23301979426537,-1.0646071256538086
17,"('uci', 'glass')",0.2306919813111045,0.37893733923897555,0.2799292661361627,0.5703585365593942,99.30203804213514,-0.8056252740694241
18,"('uci', 'ionosphere')",0.09919493962047153,0.05972934994755531,0.1793650793650794,0.19117621518047587,18.111976366860038,-2.9775407038054986
19,"('uci', 'sonar')",-0.0044211045726708755,0.0017663104992795573,0.04467353951890041,0.19884508957634334,55.05109590954082,-1.6781637469318267
20,"('uci', 'statlog')",0.1029586771881616,0.35041343781964446,0.17020202020202016,0.487532866181108,435.04976758910186,-inf
21,"('uci', 'wdbc')",0.05230450912720369,0.08809665670006503,0.09433962264150941,0.6909351496010313,334.3356566727959,-0.42900107431046264
22,"('uci', 'wine')",0.3708330215187077,0.44227466849796154,0.4775229768441155,0.5418974252700277,538.0099529327545,-0.5612650035303952
23,"('uci', 'yeast')",0.12621259506394514,0.20308769098129859,0.33228577825377276,0.17122067238704614,173.07365478648634,-1.2763469819656914
24,"('fcps', 'atom')",0.08353119288930388,0.2038892394690688,0.29000000000000004,0.38937263663483745,189.7966179990814,-1.2791459382502677
25,"('fcps', 'chainlink')",0.3130454853647629,0.3887540945806331,0.56,0.3424207492227307,575.4875713482777,-1.0718925761756668
26,"('fcps', 'engytime')",0.04058039464776415,0.13941668529609633,0.20166015625,0.35043317929318374,1318.724303060669,-0.7774793848651468
27,"('fcps', 'hepta')",1.0,0.9999999999999999,1.0,0.7019232643413871,519.9375177851588,-0.355038569756824
28,"('fcps', 'lsun')",0.40461296095195853,0.5316455238065274,0.665,0.48721877994336155,458.1569416530715,-0.7796403080911017
29,"('fcps', 'target')",0.206684299672276,0.38411751322341725,0.8782369146005509,0.39600089432798924,90.50250546709009,-0.5872533414280009
30,"('fcps', 'tetra')",0.9867009000400982,0.9822832233611223,0.9933333333333333,0.5010021992790915,409.2208263030015,-0.6757711708737151
31,"('fcps', 'twodiamonds')",0.9850375245509264,0.9681184461675113,0.9925000000000002,0.6297321926073488,2378.9946936630945,-0.5423255739793528
32,"('fcps', 'wingnut')",0.8233479704082601,0.7737965162619681,0.9074803149606301,0.4468851160546381,1056.162130708741,-0.8783252820112367
33,"('graves', 'dense')",0.25726379274425304,0.3509979648164761,0.51,0.5291256943697253,231.8170602031748,-0.6728891287585417
34,"('graves', 'fuzzyx')",0.6537153620843621,0.7418278018429216,0.7492913517917157,0.45279088442772913,1103.0643069324321,-0.6643804772213237
35,"('graves', 'line')",-0.0709960601813903,0.14102453291052575,0.3599999999999999,0.5498107482178174,411.71328281850214,-0.5544882953675521
36,"('graves', 'parabolic')",0.5894172260137619,0.505661697571563,0.7700531336022021,0.5182774497778281,1507.2845868670756,-0.7393640908962926
37,"('graves', 'ring')",0.20920495302222483,0.31393071839104564,0.45799999999999996,0.4022185567243715,370.80985196832285,-1.296761498203259
38,"('graves', 'ring_noisy')",0.07852881886789989,0.19921406505166345,0.2831683168316832,0.37759211076238725,317.26275867386977,-0.960609767455252
39,"('graves', 'ring_outliers')",0.3413922917616629,0.4116116540486461,0.5615,0.4357282261396141,517.5186104617392,-0.7373184430322463
40,"('graves', 'zigzag')",0.13012848648665717,0.34698988997923097,0.5733333333333333,0.5051728118460408,376.6184699083103,-0.6342768244036737
41,"('graves', 'zigzag_noisy')",0.1248423003393035,0.3425598351078289,0.5723270440251573,0.503901930179824,396.6650725614479,-0.6329632664044326
42,"('graves', 'zigzag_outliers')",0.13012848648665717,0.34698988997923097,0.5733333333333333,0.5051729828361957,376.61845581978787,-0.6342768217270122
