,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.9008890526781006,0.9516335779443259,0.9038596491228071,0.5682379194262172,11573.19883338693,-0.6067693356327193
1,"('sipu', 'a2')",0.9339468514888013,0.9702121224364495,0.9409803921568629,0.581864635370446,16415.63407194655,-0.5607819512377769
2,"('sipu', 'a3')",0.9225823705236667,0.9703386988504238,0.9266666666666665,0.5775733610823734,21002.104614544714,-0.5744315009668242
3,"('sipu', 'aggregation')",0.6938844667671805,0.8399180066408052,0.7319794584500467,0.47626041783213263,1341.0828881486905,-0.7560847766547115
4,"('sipu', 'compound')",0.5215495358238171,0.7374344143828295,0.7026947960618847,0.5093058214523947,739.4314832546859,-0.6976123872950127
5,"('sipu', 'd31')",0.8615227400219801,0.9376019570213451,0.877333333333333,0.5219526813737697,7122.75864710023,-0.6732761889491636
6,"('sipu', 'flame')",0.4880172644418499,0.46848471343297554,0.7547892720306515,0.3767576162423978,154.2171745908537,-1.123334927704076
7,"('sipu', 'jain')",0.32410804461158343,0.3690019484299286,0.7034588375915134,0.495231094503635,503.45730872159686,-0.7834341791554115
8,"('sipu', 'pathbased')",0.46182182666457305,0.5463133451031293,0.6499999999999999,0.5420274548210493,359.0334602036427,-0.6662415242139758
9,"('sipu', 'r15')",0.9927781994136302,0.9942285075104654,0.9964285714285713,0.7527392487365961,4871.984210726227,-0.31481589558371054
10,"('sipu', 's1')",0.986375199488658,0.9862980665154102,0.993116390432431,0.7112892571922645,22675.16215349361,-0.36641541068625016
11,"('sipu', 's2')",0.9370536522819238,0.9459324265573539,0.9675041879808607,0.6260719272672294,13506.767974915922,-0.4656337389198258
12,"('sipu', 's3')",0.7243137011073106,0.7938972251947963,0.8435910361319497,0.49245610846898297,7889.611472798097,-0.6438213107050902
13,"('sipu', 's4')",0.5945655057697876,0.708182574971969,0.7166432779448516,0.4676919286455682,5767.161090414972,-0.6839025706059468
14,"('sipu', 'spiral')",-0.005869146961007861,0.0005154832811358417,0.018613505555407306,0.36006034517028745,237.45250964619925,-0.8777152438282689
15,"('sipu', 'unbalance')",1.0,1.0,1.0,0.8577568698722174,221461.06842793556,-0.2901528879922143
16,"('uci', 'ecoli')",0.43101675113302135,0.6201307581055376,0.5173540744969315,0.25111333405423236,149.2371724752628,-1.2390987299775593
17,"('uci', 'glass')",0.24707998219529076,0.3985242785693986,0.38448266737473524,0.44428106519036525,123.29897842376137,-0.8769046942614942
18,"('uci', 'ionosphere')",0.17760685473768603,0.13485692093441007,0.43587301587301597,0.2959701576515126,118.82649622142911,-1.513475913676085
19,"('uci', 'sonar')",0.010869872549936507,0.012448248356603332,0.13076994520293495,0.1989631612038865,59.6538436267141,-1.7967789874278042
20,"('uci', 'statlog')",0.3235101609430371,0.49255517435636803,0.44898989898989905,0.32394015702902973,991.689078808643,-1.0180325689110774
21,"('uci', 'wdbc')",0.49142453622455523,0.46479332792160805,0.610406426721632,0.6972646306306741,1300.2082787916506,-0.5044035569142625
22,"('uci', 'wine')",0.37111371823084754,0.4287568597645355,0.5440265178642476,0.5711382854391037,561.8157788619669,-0.5342431362512038
23,"('uci', 'yeast')",0.1444064569535871,0.2773543043834878,0.2931904829612208,0.1741467857006949,277.83204325451277,-1.3875571431767582
24,"('fcps', 'atom')",0.14564469269222696,0.26311545135084075,0.38250000000000006,0.42206678693329897,270.2615335924096,-1.238975132687972
